feature,importance
ebitda_margin,0.033264416050561754
profitability_score,0.02482207128696866
monthly_to_yearly_ratio,0.023034139823558133
Number of Sharks in Deal,0.013370849820985029
valuation_reasonableness,0.012257769479018037
deal_size_category,0.011095374669624729
industry_avg_equity,0.010659105880395333
revenue_per_sku,0.006638162776886753
Male Presenters,0.00663403850294211
Vineeta Present,0.004606129006919824
Namita Present,0.004008831609432954
Anupam Present,0.003874958345175721
Female Presenters,0.003832941533371875
Gross Margin,0.0034866080041923036
male_ratio,0.0034330241954629095
Amit Present,0.003212092804937068
profit_margin_gap,0.0031731888927417646
Guest Present,0.0031484737904474993
runway_months,0.0028429696597622963
Number of Presenters,0.0028379123185305016
team_size,0.0028379123185305016
EBITDA,0.00273230424852134
female_ratio,0.0025844444899523478
is_solo_founder,0.002385078103013869
has_female_founder,0.00233954013178662
innovation_score,0.002239624753843076
financial_health_score,0.0021001761180502775
gender_diversity_score,0.0020982107039141224
is_pre_revenue,0.0018997069486978832
is_metro,0.0016960637529138038
state_pitch_density,0.001643580787734817
is_reasonable_valuation,0.0015468438399569703
Aman Present,0.0014764515803728964
Ritesh Present,0.001378919911780056
revenue_multiple,0.001367955851708998
Monthly Sales,0.0011553713803207212
valuation_to_ask_ratio,0.001073281770293476
Cash Burn,0.0010252118785037873
Has Patents,0.0008116164961073733
has_patent,0.0008116164961073733
ask_percentage,0.0007684998766017942
Peyush Present,0.0006573577212347719
Original Offered Equity,0.0006420846389545239
expected_equity_dilution,0.0006420846389545239
Bootstrapped,0.0006163917616308253
is_bootstrapped,0.0006163917616308253
SKUs,0.0006067558652727364
sku_count,0.0006067558652727364
state_success_rate,0.0005724694855914297
industry_avg_success_rate,0.0004909506006147649
is_outlier_valuation,0.000445348329473715
Net Margin,0.0003134191114251188
revenue_category,0.00028307016436667637
industry_median_valuation,0.00023571440148937637
is_high_revenue,0.0002183839431259147
Original Ask Amount,0.0001965347069605349
namita_industry_fit,0.00019395782091272305
is_couple,0.0001580808796083729
Couple Presenters,0.0001580808796083729
Yearly Revenue,0.00015036553841771331
ritesh_industry_fit,0.000126541377375861
industry_pitch_count,9.877080643409473e-05
peyush_industry_fit,6.709836608726062e-05
anupam_industry_fit,5.69524630543714e-05
burn_rate,5.156099430575187e-05
aman_industry_fit,4.684827233252697e-05
vineeta_industry_fit,4.414765777433756e-05
amit_industry_fit,4.072925697414851e-05
Transgender Presenters,3.6815348944283264e-05
Started in,1.8717225482672644e-05
Valuation Requested,1.2869456643327514e-05
Deal Valuation,5.099201877564959e-06
geographic_diversity_score,2.3412831734090265e-06
industry_competition_index,1.4069915446649067e-07
