Column,Missing_Count,Missing_Percentage
Transgender Presenters,699,99.57
Guest Debt Amount,695,99.0
Amit Debt Amount,695,99.0
Anupam Debt Amount,693,98.72
Part of Match off,692,98.58
Peyush Debt Amount,689,98.15
Advisory Shares Equity,689,98.15
Ritesh Debt Amount,688,98.01
Vineeta Debt Amount,686,97.72
Aman Debt Amount,683,97.29
Namita Debt Amount,681,97.01
Amit Investment Equity,666,94.87
Amit Investment Amount,666,94.87
Deal Has Conditions,665,94.73
Royalty Recouped Amount,660,94.02
Royalty Percentage,660,94.02
SKUs,657,93.59
Ritesh Investment Equity,649,92.45
Ritesh Investment Amount,649,92.45
Debt Interest,639,91.03
Has Patents,637,90.74
Guest Investment Equity,628,89.46
Guest Investment Amount,628,89.46
Invested Guest Name,628,89.46
Total Deal Debt,622,88.6
Vineeta Investment Amount,611,87.04
Vineeta Investment Equity,610,86.89
EBITDA,610,86.89
Net Margin,608,86.61
Cash Burn,599,85.33
Peyush Investment Amount,598,85.19
Peyush Investment Equity,598,85.19
Anupam Investment Amount,593,84.47
Anupam Investment Equity,593,84.47
Namita Investment Amount,581,82.76
Namita Investment Equity,581,82.76
Bootstrapped,572,81.48
Amit Present,560,79.77
Aman Investment Equity,558,79.49
Aman Investment Amount,558,79.49
Ritesh Present,556,79.2
Gross Margin,531,75.64
Monthly Sales,406,57.83
All Guest Names,365,51.99
Guest Present,365,51.99
Yearly Revenue,353,50.28
Peyush Present,314,44.73
Deal Valuation,302,43.02
Total Deal Equity,301,42.88
Total Deal Amount,301,42.88
Number of Sharks in Deal,301,42.88
Female Presenters,291,41.45
Vineeta Present,257,36.61
Accepted Offer,237,33.76
Namita Present,176,25.07
Anupam Present,135,19.23
Aman Present,129,18.38
Male Presenters,105,14.96
Started in,99,14.1
Season End,68,9.69
Company Website,50,7.12
Pitchers City,48,6.84
Pitchers State,45,6.41
Couple Presenters,40,5.7
Anchor,40,5.7
Number of Presenters,39,5.56
Pitchers Average Age,39,5.56
Episode Title,37,5.27
Original Air Date,31,4.42
Industry,10,1.42
