Variable,Skewness
Original Ask Amount,26.28404232757873
Monthly Sales,11.709606967162413
Yearly Revenue,6.667967373262812
Peyush Investment Amount,6.649911558894336
Valuation Requested,5.9698574251990735
Aman Investment Equity,5.943563117885923
SKUs,5.913548559463366
Total Deal Debt,5.26555981625195
Vineeta Investment Equity,4.68488883845873
Peyush Investment Equity,4.092678471281371
Aman Investment Amount,3.3574687234193927
Original Offered Equity,3.0648437695390562
Total Deal Equity,3.055717780719074
Deal Valuation,3.0428916566431217
Royalty Recouped Amount,2.9830491369183423
Namita Investment Equity,2.9499772497679935
Namita Debt Amount,2.8308993943438074
Guest Investment Equity,2.7913156909428825
Ritesh Debt Amount,2.7302008467407197
Ritesh Investment Equity,2.6832948343344087
Total Deal Amount,2.49566253199825
Amit Investment Equity,2.2724159718296124
Guest Investment Amount,2.1847072573559756
Guest Present,2.103801759334091
Guest Debt Amount,1.9325323409354906
Anupam Investment Equity,1.852349987423158
Couple Presenters,1.7224283436746712
Ritesh Investment Amount,1.5849012325871625
Royalty Percentage,1.5567866390764915
Anupam Investment Amount,1.358027858228834
Number of Sharks in Deal,1.1905544843801144
Vineeta Investment Amount,1.167493303720775
Namita Investment Amount,0.9709577361004101
Amit Investment Amount,0.9550833841699378
Anupam Debt Amount,0.9476519404582111
Male Presenters,0.9121709091027662
Peyush Debt Amount,0.8185267719657834
Number of Presenters,0.7949889387276026
EBITDA,0.7406246415328671
Aman Debt Amount,0.7115946019327002
Net Margin,0.7089666492054764
Vineeta Debt Amount,0.5387124584239028
Gross Margin,0.42040147755136636
Female Presenters,0.3232791620324766
Amit Debt Amount,0.24403829105285918
Episode Number,0.20949357281034417
Season Number,0.1498780999412805
Pitch Number,0.0
Advisory Shares Equity,-0.17049607532600147
Received Offer,-0.6868061850409725
Debt Interest,-0.9328464551092648
Started in,-2.013886261692983
Accepted Offer,-2.1036221137614595
Transgender Presenters,
Namita Present,
Vineeta Present,
Anupam Present,
Aman Present,
Peyush Present,
Ritesh Present,
Amit Present,
