Startup Name,Industry,Yearly Revenue,Valuation Requested,revenue_multiple,inflation_score,inflation_category,ask_percentage,Total Deal Equity,equity_dilution,fairness_index,fairness_category,got_offer
BluePineFoods,Food and Beverage,95.0,1000.0,10.416666666666666,-0.007253152004533221,Below Market,4.9950049950049955,16.0,11.004995004995004,87.98501498501498,Highly Fair,1
BoozScooters,Vehicles/Electrical Vehicles,4.0,267.0,53.4,-2.1867492145629273,Significantly Undervalued,14.925373134328357,50.0,35.07462686567165,66.22388059701493,Fair,1
HeartUpMySleeves,Beauty/Fashion,380.0,250.0,0.6561679790026247,-0.36274549839685877,Below Market,9.9601593625498,30.0,20.039840637450197,91.11952191235059,Highly Fair,1
TagzFoods,Food and Beverage,700.0,7000.0,9.985734664764625,-0.01091598244993944,Below Market,0.9998571632623912,2.75,1.7501428367376088,81.99957148978717,Highly Fair,1
HeadAndHeart,Children/Education,30.0,1000.0,32.25806451612903,1.218780814199183,Above Market,4.9950049950049955,0.0,-4.9950049950049955,71.98501498501498,Fair,0
Agritourism,Agriculture,79.0,1000.0,12.5,0.06377325066430475,Fair Market,4.9950049950049955,0.0,-4.9950049950049955,81.98501498501498,Highly Fair,0
qZenseLabs,Food and Beverage,25.0,40000.0,1000.0,8.403994900127497,Significantly Overvalued,0.2499937501562461,0.0,-0.2499937501562461,45.74998125046874,Moderate,1
Peeschute,Beauty/Fashion,100.0,1875.0,18.564356435643564,0.4815821044622142,Fair Market,3.997867803837954,6.0,2.002132196162046,84.99360341151386,Highly Fair,1
NOCD,Food and Beverage,180.0,2500.0,13.812154696132596,0.021607774722759005,Fair Market,1.9992003198720512,15.0,13.00079968012795,72.99760095961615,Fair,1
CosIQ,Beauty/Fashion,0.0,667.0,667.0,,,7.48502994011976,25.0,17.51497005988024,74.45508982035928,Fair,1
JhaJiAchaar,Food and Beverage,180.0,500.0,2.7624309392265194,-0.0723125292033445,Below Market,9.98003992015968,5.62,-4.36003992015968,91.05988023952096,Highly Fair,1
Bummer,Beauty/Fashion,36.0,1875.0,50.67567567567568,1.9955528371369955,Above Market,3.997867803837954,7.5,3.502132196162046,68.99360341151386,Fair,1
RevampMoto,Vehicles/Electrical Vehicles,2.0,10000.0,1000.0,0.0,Below Market,0.9999000099990002,1.5,0.5000999900009998,69.999700029997,Fair,1
HungryHead,Food and Beverage,180.0,1000.0,5.524861878453039,-0.04883245322181862,Below Market,4.9950049950049955,0.0,-4.9950049950049955,93.98501498501498,Highly Fair,0
